Application,rid,cvss,rat,dsu,fdl,cg,cl,cg.1,cg.2,cg.3,cg.4,cg.5,cg.6,cg.7,cg.8,cg.8a,cg.9,cg.10,cg.11,cg.12,cg.13,cg.14,cg.15,cg.16,cl.1,cl.2,cl.3,cl.4,cl.5,cl.6,cl.7,cl.8,cl.9,cl.10,cl.11,cl.12,cl.13,cl.14,cl.15,cl.16,cl.17,cl.18,cl.19,cl.20,cl.21,cl.22,cl.23,cl.24,cl.25,cl.26
castify.roku,20.00949004,6.2,4.3,0,1,218,6,68,3,65,10,0,4,1,0,0,0,1,0,2,64,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
castwebbrowsertotv.castwebvideo.webvideocaster,16.87102103,6.3,4.3,266,3,112,4,35,3,32,5,0,1,1,1,0,0,1,0,2,31,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cn.ubia.ubox,39.66391169,6.2,3,1,55,126,2,39,1,37,6,0,1,1,2,1,0,1,0,0,36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
co.bitfinder.awair,25.1147021,6.5,3.5,19,4,56,3,18,1,18,0,0,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
co.sonofy.smartroomsolutions,44.78844702,5.9,3.5,22,0,62,2,18,2,16,6,0,1,1,0,0,0,0,0,1,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
com.abb.energyviewer,27.80792497,5.6,3,25,0,45,2,13,1,12,2,0,1,0,2,1,0,0,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
com.adt.pulse,17.63325678,5.9,4.5,187,7,53,0,17,2,16,0,0,0,1,0,0,0,0,0,1,16,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
com.alarm.alarmmobile.android.guardian,12.77713509,5.9,4,21,2,54,2,16,1,16,3,0,1,1,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
com.allocacoc.smart,13.03858582,6.2,4.1,336,1,122,0,39,1,38,2,1,2,1,0,0,0,1,0,0,37,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
com.angelcam,16.37759876,6,4.3,40,4,34,2,11,1,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
